TH,13101,HH,M,2000-03-27T07:00:00+07:00,0.97,m     , O
TH,13101,HH,M,2000-03-28T07:00:00+07:00,0.96,m     , O
TH,13101,HH,M,2000-03-29T07:00:00+07:00,0.95,m     , O
TH,13101,HH,M,2000-03-30T07:00:00+07:00,0.94,m     , O
TH,13101,HH,M,2000-03-31T07:00:00+07:00,0.91,m     , O
TH,13101,HH,M,2000-04-01T07:00:00+07:00,0.9,m     , O
TH,13101,HH,M,2000-04-02T07:00:00+07:00,0.89,m     , O
TH,13101,HH,M,2000-04-03T07:00:00+07:00,0.87,m     , O
TH,13101,HH,M,2000-04-04T07:00:00+07:00,0.85,m     , O
TH,13101,HH,M,2000-04-05T07:00:00+07:00,0.85,m     , O
TH,13101,HH,M,2000-04-06T07:00:00+07:00,0.86,m     , O
TH,13101,HH,M,2000-04-07T07:00:00+07:00,0.87,m     , O
TH,13101,HH,M,2000-04-08T07:00:00+07:00,0.89,m     , O
TH,13101,HH,M,2000-04-09T07:00:00+07:00,0.95,m     , O
TH,13101,HH,M,2000-04-10T07:00:00+07:00,0.99,m     , O
TH,13101,HH,M,2000-04-11T07:00:00+07:00,1.02,m     , O
TH,13101,HH,M,2000-04-12T07:00:00+07:00,1.06,m     , O
TH,13101,HH,M,2000-04-13T07:00:00+07:00,1.09,m     , O
TH,13101,HH,M,2000-04-14T07:00:00+07:00,1.1,m     , O
TH,13101,HH,M,2000-04-15T07:00:00+07:00,1.09,m     , O
TH,13101,HH,M,2000-04-16T07:00:00+07:00,1.06,m     , O
TH,13101,HH,M,2000-04-17T07:00:00+07:00,1.02,m     , O
TH,13101,HH,M,2000-04-18T07:00:00+07:00,1.05,m     , O
TH,13101,HH,M,2000-04-19T07:00:00+07:00,1.12,m     , O
TH,13101,HH,M,2000-04-20T07:00:00+07:00,1.21,m     , O
TH,13101,HH,M,2000-04-21T07:00:00+07:00,1.3,m     , O
TH,13101,HH,M,2000-04-22T07:00:00+07:00,1.34,m     , O
TH,13101,HH,M,2000-04-23T07:00:00+07:00,1.37,m     , O
TH,13101,HH,M,2000-04-24T07:00:00+07:00,1.43,m     , O
TH,13101,HH,M,2000-04-25T07:00:00+07:00,1.49,m     , O
TH,13101,HH,M,2000-04-26T07:00:00+07:00,1.54,m     , O
TH,13101,HH,M,2000-04-27T07:00:00+07:00,1.56,m     , O
TH,13101,HH,M,2000-04-28T07:00:00+07:00,1.53,m     , O
TH,13101,HH,M,2000-04-29T07:00:00+07:00,1.53,m     , O
TH,13101,HH,M,2000-04-30T07:00:00+07:00,1.59,m     , O
TH,13101,HH,M,2000-05-01T07:00:00+07:00,1.73,m     , O
TH,13101,HH,M,2000-05-02T07:00:00+07:00,1.76,m     , O
TH,13101,HH,M,2000-05-03T07:00:00+07:00,1.75,m     , O
TH,13101,HH,M,2000-05-04T07:00:00+07:00,1.71,m     , O
TH,13101,HH,M,2000-05-05T07:00:00+07:00,1.71,m     , O
TH,13101,HH,M,2000-05-06T07:00:00+07:00,1.83,m     , O
TH,13101,HH,M,2000-05-07T07:00:00+07:00,2.06,m     , O
TH,13101,HH,M,2000-05-08T07:00:00+07:00,2.18,m     , O
TH,13101,HH,M,2000-05-09T07:00:00+07:00,2.3,m     , O
TH,13101,HH,M,2000-05-10T07:00:00+07:00,2.47,m     , O
TH,13101,HH,M,2000-05-11T07:00:00+07:00,2.59,m     , O
TH,13101,HH,M,2000-05-12T07:00:00+07:00,2.77,m     , O
TH,13101,HH,M,2000-05-13T07:00:00+07:00,2.82,m     , O
TH,13101,HH,M,2000-05-14T07:00:00+07:00,2.9,m     , O
TH,13101,HH,M,2000-05-15T07:00:00+07:00,2.99,m     , O
TH,13101,HH,M,2000-05-16T07:00:00+07:00,3.12,m     , O
TH,13101,HH,M,2000-05-17T07:00:00+07:00,3.32,m     , O
TH,13101,HH,M,2000-05-18T07:00:00+07:00,3.83,m     , O
TH,13101,HH,M,2000-05-19T07:00:00+07:00,4.23,m     , O
TH,13101,HH,M,2000-05-20T07:00:00+07:00,4.48,m     , O
TH,13101,HH,M,2000-05-21T07:00:00+07:00,4.8,m     , O
TH,13101,HH,M,2000-05-22T07:00:00+07:00,5.08,m     , O
TH,13101,HH,M,2000-05-23T07:00:00+07:00,5.22,m     , O
TH,13101,HH,M,2000-05-24T07:00:00+07:00,5.57,m     , O
TH,13101,HH,M,2000-05-25T07:00:00+07:00,5.97,m     , O
TH,13101,HH,M,2000-05-26T07:00:00+07:00,6.09,m     , O
TH,13101,HH,M,2000-05-27T07:00:00+07:00,6.15,m     , O
TH,13101,HH,M,2000-05-28T07:00:00+07:00,5.99,m     , O
TH,13101,HH,M,2000-05-29T07:00:00+07:00,5.7,m     , O
TH,13101,HH,M,2000-05-30T07:00:00+07:00,5.38,m     , O
TH,13101,HH,M,2000-05-31T07:00:00+07:00,5.15,m     , O
