KH,130507,PH,M,2001-03-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-23T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-03-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-26T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-03-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-31T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-17T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-04-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-28T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-04-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-01T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-03T07:00:00+07:00,  41.00000,mm    , O
KH,130507,PH,M,2001-05-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-15T07:00:00+07:00,  70.00000,mm    , O
KH,130507,PH,M,2001-05-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-17T07:00:00+07:00,  70.00000,mm    , O
KH,130507,PH,M,2001-05-18T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-20T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-21T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-22T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-23T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-25T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-28T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-05-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-30T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-05-31T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-06-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-07T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-06-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-10T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-06-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-12T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-06-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-16T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-06-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-24T07:00:00+07:00,  50.00000,mm    , O
KH,130507,PH,M,2001-06-25T07:00:00+07:00,  50.00000,mm    , O
KH,130507,PH,M,2001-06-26T07:00:00+07:00,  31.00000,mm    , O
KH,130507,PH,M,2001-06-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-28T07:00:00+07:00,  8.000000,mm    , O
KH,130507,PH,M,2001-06-29T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-06-30T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-07-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-02T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-07-03T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-07-04T07:00:00+07:00,  13.00000,mm    , O
KH,130507,PH,M,2001-07-05T07:00:00+07:00,  50.00000,mm    , O
KH,130507,PH,M,2001-07-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-07T07:00:00+07:00,  17.00000,mm    , O
KH,130507,PH,M,2001-07-08T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-07-09T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-07-10T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-07-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-15T07:00:00+07:00,  8.000000,mm    , O
KH,130507,PH,M,2001-07-16T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-07-17T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-07-18T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-07-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-21T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-07-22T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-07-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-24T07:00:00+07:00,  28.00000,mm    , O
KH,130507,PH,M,2001-07-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-26T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-07-27T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-07-28T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-07-29T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-07-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-07-31T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-08-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-04T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-08-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-06T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-08-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-08T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-08-09T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-08-10T07:00:00+07:00,  25.00000,mm    , O
KH,130507,PH,M,2001-08-11T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-08-12T07:00:00+07:00,  16.00000,mm    , O
KH,130507,PH,M,2001-08-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-14T07:00:00+07:00,  18.00000,mm    , O
KH,130507,PH,M,2001-08-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-16T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-08-17T07:00:00+07:00,  40.00000,mm    , O
KH,130507,PH,M,2001-08-18T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-08-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-08-20T07:00:00+07:00,  16.00000,mm    , O
KH,130507,PH,M,2001-08-21T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-08-22T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-08-23T07:00:00+07:00,  40.00000,mm    , O
KH,130507,PH,M,2001-08-24T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-08-25T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-08-26T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-08-27T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-08-28T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-08-29T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-08-30T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-08-31T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-09-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-05T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-09-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-07T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-09-08T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-09-09T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-09-10T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-09-11T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-09-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-13T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-09-14T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-09-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-16T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-09-17T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-09-18T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-09-19T07:00:00+07:00,  15.00000,mm    , O
KH,130507,PH,M,2001-09-20T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-09-21T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-09-22T07:00:00+07:00,  77.00000,mm    , O
KH,130507,PH,M,2001-09-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-25T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-09-26T07:00:00+07:00,  50.00000,mm    , O
KH,130507,PH,M,2001-09-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-09-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-02T07:00:00+07:00,  31.00000,mm    , O
KH,130507,PH,M,2001-10-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-05T07:00:00+07:00,  8.000000,mm    , O
KH,130507,PH,M,2001-10-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-07T07:00:00+07:00,  40.00000,mm    , O
KH,130507,PH,M,2001-10-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-10T07:00:00+07:00,  24.00000,mm    , O
KH,130507,PH,M,2001-10-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-12T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-10-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-16T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-10-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-20T07:00:00+07:00,  4.000000,mm    , O
KH,130507,PH,M,2001-10-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-24T07:00:00+07:00,  20.00000,mm    , O
KH,130507,PH,M,2001-10-25T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-10-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-10-30T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-10-31T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-14T07:00:00+07:00,  30.00000,mm    , O
KH,130507,PH,M,2001-11-15T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-11-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-11-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-05T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-12-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-09T07:00:00+07:00,  2.000000,mm    , O
KH,130507,PH,M,2001-12-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-12-15T07:00:00+07:00,  0.000000,mm    , O
