KH,120423,PH,M,2008-03-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-31T07:00:00+07:00,6.8,mm    , O
KH,120423,PH,M,2008-04-01T07:00:00+07:00,5.6,mm    , O
KH,120423,PH,M,2008-04-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-06T07:00:00+07:00,32.2,mm    , O
KH,120423,PH,M,2008-04-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-13T07:00:00+07:00,5.2,mm    , O
KH,120423,PH,M,2008-04-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-16T07:00:00+07:00,1.2,mm    , O
KH,120423,PH,M,2008-04-17T07:00:00+07:00,0.5,mm    , O
KH,120423,PH,M,2008-04-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-23T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-04-24T07:00:00+07:00,3,mm    , O
KH,120423,PH,M,2008-04-25T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-04-27T07:00:00+07:00,20.7,mm    , O
KH,120423,PH,M,2008-04-28T07:00:00+07:00,4.1,mm    , O
KH,120423,PH,M,2008-04-29T07:00:00+07:00,7.5,mm    , O
KH,120423,PH,M,2008-04-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-01T07:00:00+07:00,0.7,mm    , O
KH,120423,PH,M,2008-05-02T07:00:00+07:00,50.2,mm    , O
KH,120423,PH,M,2008-05-03T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-05-04T07:00:00+07:00,13.3,mm    , O
KH,120423,PH,M,2008-05-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-06T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-05-07T07:00:00+07:00,19.6,mm    , O
KH,120423,PH,M,2008-05-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-11T07:00:00+07:00,19.3,mm    , O
KH,120423,PH,M,2008-05-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-13T07:00:00+07:00,7.5,mm    , O
KH,120423,PH,M,2008-05-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-15T07:00:00+07:00,15.7,mm    , O
KH,120423,PH,M,2008-05-16T07:00:00+07:00,6.7,mm    , O
KH,120423,PH,M,2008-05-17T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-18T07:00:00+07:00,11.2,mm    , O
KH,120423,PH,M,2008-05-19T07:00:00+07:00,41.5,mm    , O
KH,120423,PH,M,2008-05-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-24T07:00:00+07:00,11.5,mm    , O
KH,120423,PH,M,2008-05-25T07:00:00+07:00,3.4,mm    , O
KH,120423,PH,M,2008-05-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-28T07:00:00+07:00,8.7,mm    , O
KH,120423,PH,M,2008-05-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-05-31T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-06-01T07:00:00+07:00,7.6,mm    , O
KH,120423,PH,M,2008-06-02T07:00:00+07:00,70.5,mm    , O
KH,120423,PH,M,2008-06-03T07:00:00+07:00,0,mm    , O
